,coursetext
1438,"CSC 2463 Programming Digital Media (3)
Prereq.: MATH 1021; credit or registration in CSC 1253, CSC 1350, or IE 2060 or ART 2050 or MUS 2732 or permission of instructor. Programming concepts motivated by digital media applications: real-time graphics, audio processing, simple hardware devices, integration of technologies into interactive systems."
1439,"CSC 2533 Introduction to Engineering Computation (3)
Also offered as ME 2533. Prereq.: MATH 1550. Credit will not be given for both this course and CSC 1240 or CSC 2262 or OCS 2011. 2 hrs. lecture; 3 hrs. lab. Problem solving techniques and structured programming tools for engineering synthesis and analysis; application of symbolic solvers and technical computing toolkits."
1440,"CSC 2610 Cloud Fundamentals & Web Programming (3)
Prereq.: CSC 1254 or CSC 1351 or ISDS 3107. Characteristics, theory and fundamentals of cloud computing and related technologies; cloud types, services and architectures; principles of application protocols and collaborative web platforms; applications in the areas of mobile and social computing; lightweight programming models; socket programming."
1441,"CSC 2700 Special Topics in Computer Science (1-3)
Prereq.: CSC 1254 or CSC 1351 or permission of department. May be taken for a max. of 6 hrs. of credit when topics vary. Total credit earned in CSC 2700, CSC 3700, and CSC 4700 should not exceed 9 hrs. Specialized areas of current interest in computer science."
1442,"CSC 2730 Data Science and Analytics (3)
Prereq.: CSC 1254 or CSC 1351 or ISDS 3107. Effective and efficient strategies for data capture; the relational database model, queries, and web programming; data mining and data warehousing process; descriptive statistics and visualization techniques; introduction to computational analysis and multidimensional analysis."
1443,"CSC 3102 Advanced Data Structures and Algorithm Analysis (3)
Prereq.: CSC 1254 or CSC 1351 and credit or concurrent enrollment in CSC 2259 or EE 2741.  Description and utilization of formal ADT representations, especially those on lists, sets, and graphs; time and space analysis of recursive and nonrecursive algorithms, including graph and sorting algorithms; algorithm design techniques."
1444,"CSC 3200 Ethics in Computing (1)
Prereq.: ENGL 1005 or ENGL 2000 or HNRS 2000; CSC 3102. For majors only. Introduction to ethics theory, ethical decision-making as it relates to the computing professional, licensing, intellectual property, conflicts of interest, freedom of information and privacy, security."
1445,"CSC 3304 Introduction to Systems Programming (3)
Prereq.: credit or registration in CSC 3102.  Introduction to systems programming, using the C programming language: OS command and shell basics, process creation and control, system calls, signals, concurrency and virtualization."
1446,"CSC 3380 Object Oriented Design (3)
Prereq.: CSC 1254 or CSC 1351. Advanced object oriented software development; emphasis on the use of the unified modeling language as a design tool."
1447,"CSC 3501 Computer Organization and Design (3)
Prereq.: CSC 2259. Credit will not be given for both this course and EE 3755. Computer arithmetic, design of high-speed adders and multipliers, CPU concepts, instruction fetching and decoding, hardwired control, microprogramming control, main memory, I/O organization, assembly language programming techniques, CPU instruction sets and addressing modes."
1448,"CSC 3700 Special Topics in Computer Science (3)
Prereq.: CSC 3102 or permission of department. May be taken for a max. of 9 credit hours when topics vary. Total hrs. earned in CSC 2700, CSC 3700, and CSC 4700 should not exceed 9 hrs.  Specialized areas of current interest in computer science."
1449,"CSC 3730 Machine Learning and Data Analytics (3)
Prereq.: CSC 3102 and IE 3302 or EE 3150 or EXST 4050 or MATH 3355. Machine learning principles and methods; advanced analytics for data; techniques for optimization and visualization; applications related to organizational performance and operational efficiency."
1450,"CSC 3991 HONORS: Undergraduate Research in Computer Science (3)
Prereq.: CSC 3102; consent of department; admittance to Upper Division Honors Program. Individual research on problems in computer science."
1451,"CSC 3992 HONORS: Undergraduate Thesis in Computer Science (3)
Prereq.: CSC 3991; consent of department; admittance to Upper Division Honors Program. Writing and formal defense of a research thesis in computer science. Defense committee of three faculty members must be approved by department."
1452,"CSC 3999 Independent Undergraduate Research (1-3)
Prereq.: consent of department chair. May be taken for a max. of 4 hrs. of credit. Individual readings, conferences and program development in computer science."
1453,"CSC 4101 Programming Languages (3)
Prereq.: CSC 3102. Principles of programming language design; specification of syntax and semantics; underlying implementation of block structured languages; dynamic memory allocation for strings, lists and arrays; imperative versus applicative programming; logic programming; modern programming languages."
1454,"CSC 4103 Operating Systems (3)
Prereq.: CSC 3102. Design techniques, process management, processor scheduling; deadlocks, memory management, secondary memory management, file management; I/O systems, Unix systems."
1455,"CSC 4243 Interface Design and Technology (3)
Prereq.: CSC 1253 or CSC 1350 or equivalent programming background. Human-computer interaction provides the bridges across which humans engage with computation. An overview and experience with the design of such interfaces. Programming and design projects employing both traditional graphical interfaces; handheld graphical interfaces; and tangible and embedded interfaces. All programming in Java languages."
1456,"CSC 4263 Video Game Design (3)
Prereq.: ART 2050 or CSC 3102 or MUS 2732 or permission of instructor. The essentials of video game design and implementation, including planning, graphics, sound, programming and testing. Focus is on a semester-long, small-team, interdisciplinary project to develop and present a complete full-featured game."
1457,"CSC 4330 Software Systems Development (3)
Prereq.: CSC 3102, CSC 3380. Software requirements analysis; design representation, programming methodologies; verification, validation, maintenance and software planning."
1458,"CSC 4332 Software Quality & Testing (3)
Prereq.: Credit or registration in CSC 4330. Concepts of software testing and quality assurance, including test generation, test oracles, black box and white box testing, integration testing, test coverage, regression testing, mutation testing, program analysis, test driven development, test automation, and test prioritization."
1459,"CSC 4343 Applied Deep Learning (3)
Prereq.: CSC 3102 and (CSC 2730 or CSC 3730). Foundation of deep neural networks; multilayer perceptron, convolutional and recurrent neural networks; optimization for neutral-network training; software stacks and frameworks used to implement deep neural networks; application of deep neural networks in real world scenarios."
1460,"CSC 4351 Compiler Construction (3)
Prereq.: CSC 4101 or equivalent. Program language structures, translation, loading, execution and storage allocation; compilation of simple expressions and statements; organization of compiler including compile-time and run-time symbol tables, lexical scan, syntax scan, object code generation, error diagnostics, object code optimization techniques and overall design; use of compiler writing languages and bootstrapping."
